workload,input,delivery,frames,payload_bytes,readers,groups_per_sample,ns_per_frame,allocations,requested_bytes,peak_live_bytes,cached_live_bytes,retained_live_bytes,retained_payload_bytes,wakes
fixed-100,Owned,Backlog,60,6000,1,34,238.72,40,12324,8932,8932,0,64,0
fixed-100,Owned,Live,60,6000,1,34,273.45,41,12516,9124,9124,0,64,61
fixed-100,Owned,Fanout,60,6000,8,34,1558.87,123,23812,16580,16516,0,64,488
fixed-100,StreamOwned,Backlog,60,6000,1,34,371.36,100,16644,9004,8932,0,64,0
fixed-100,StreamOwned,Live,60,6000,1,34,555.62,161,17796,9212,9212,88,64,181
fixed-100,StreamOwned,Fanout,60,6000,8,34,2263.23,783,43492,16684,16604,88,64,1448
fixed-100,Split,Backlog,60,6000,1,34,477.90,172,25860,22468,22468,4216,64,0
fixed-100,Split,Live,60,6000,1,34,671.98,293,27972,22676,22676,4216,50,241
fixed-100,Split,Fanout,60,6000,8,34,2673.65,1395,64228,30132,30068,4216,50,1928
fixed-100,Chunk1200,Backlog,60,6000,1,34,416.58,220,24084,16444,16372,124,64,0
fixed-100,Chunk1200,Live,60,6000,1,34,551.38,281,25236,16652,16652,212,64,181
fixed-100,Chunk1200,Fanout,60,6000,8,34,2143.96,903,50932,24108,24044,212,64,1448
fixed-100,Chunk16k,Backlog,60,6000,1,34,369.40,220,24084,16444,16372,124,64,0
fixed-100,Chunk16k,Live,60,6000,1,34,491.05,281,25236,16652,16652,212,64,181
fixed-100,Chunk16k,Fanout,60,6000,8,34,2143.64,903,50932,24108,24044,212,64,1448
fixed-256,Owned,Backlog,60,15360,1,34,238.31,40,12324,8932,8932,0,64,0
fixed-256,Owned,Live,60,15360,1,34,280.99,41,12516,9124,9124,0,64,61
fixed-256,Owned,Fanout,60,15360,8,34,1434.63,123,23812,16580,16516,0,64,488
fixed-256,StreamOwned,Backlog,60,15360,1,34,377.84,100,16644,9004,8932,0,64,0
fixed-256,StreamOwned,Live,60,15360,1,34,555.55,161,17796,9212,9212,88,64,181
fixed-256,StreamOwned,Fanout,60,15360,8,34,2229.78,783,43492,16684,16604,88,64,1448
fixed-256,Split,Backlog,60,15360,1,34,469.74,172,33924,30532,30532,8312,64,0
fixed-256,Split,Live,60,15360,1,34,752.71,293,36036,30740,30740,8312,64,241
fixed-256,Split,Fanout,60,15360,8,34,2656.81,1395,72292,38196,38132,8312,64,1928
fixed-256,Chunk1200,Backlog,60,15360,1,34,421.58,220,33444,25804,25732,280,64,0
fixed-256,Chunk1200,Live,60,15360,1,34,574.66,281,34596,26012,26012,368,64,181
fixed-256,Chunk1200,Fanout,60,15360,8,34,2192.25,903,60292,33468,33404,368,64,1448
fixed-256,Chunk16k,Backlog,60,15360,1,34,422.58,220,33444,25804,25732,280,64,0
fixed-256,Chunk16k,Live,60,15360,1,34,572.36,281,34596,26012,26012,368,64,181
fixed-256,Chunk16k,Fanout,60,15360,8,34,2159.16,903,60292,33468,33404,368,64,1448
fixed-1000,Owned,Backlog,60,60000,1,34,240.00,40,12324,8932,8932,0,64,0
fixed-1000,Owned,Live,60,60000,1,34,275.26,41,12516,9124,9124,0,64,61
fixed-1000,Owned,Fanout,60,60000,8,34,1398.44,123,23812,16580,16516,0,64,488
fixed-1000,StreamOwned,Backlog,60,60000,1,34,371.59,100,16644,9004,8932,0,64,0
fixed-1000,StreamOwned,Live,60,60000,1,34,496.73,161,17796,9212,9212,88,64,181
fixed-1000,StreamOwned,Fanout,60,60000,8,34,2298.87,783,43492,16684,16604,88,64,1448
fixed-1000,Split,Backlog,60,60000,1,34,487.07,172,82308,78916,78916,32888,64,0
fixed-1000,Split,Live,60,60000,1,34,762.12,293,84420,79124,79124,32888,64,241
fixed-1000,Split,Fanout,60,60000,8,34,2677.96,1395,120676,86580,86516,32888,64,1928
fixed-1000,Chunk1200,Backlog,60,60000,1,34,446.09,220,78084,70444,70372,1024,64,0
fixed-1000,Chunk1200,Live,60,60000,1,34,613.14,281,79236,70652,70652,1112,64,181
fixed-1000,Chunk1200,Fanout,60,60000,8,34,2184.30,903,104932,78108,78044,1112,64,1448
fixed-1000,Chunk16k,Backlog,60,60000,1,34,453.47,220,78084,70444,70372,1024,64,0
fixed-1000,Chunk16k,Live,60,60000,1,34,536.14,281,79236,70652,70652,1112,64,181
fixed-1000,Chunk16k,Fanout,60,60000,8,34,2199.86,903,104932,78108,78044,1112,64,1448
fixed-4096,Owned,Backlog,60,245760,1,34,215.88,40,12324,8932,8932,0,64,0
fixed-4096,Owned,Live,60,245760,1,34,247.77,41,12516,9124,9124,0,64,61
fixed-4096,Owned,Fanout,60,245760,8,34,1408.03,123,23812,16580,16516,0,64,488
fixed-4096,StreamOwned,Backlog,60,245760,1,34,373.42,100,16644,9004,8932,0,64,0
fixed-4096,StreamOwned,Live,60,245760,1,34,542.85,161,17796,9212,9212,88,64,181
fixed-4096,StreamOwned,Fanout,60,245760,8,34,2218.70,783,43492,16684,16604,88,64,1448
fixed-4096,Split,Backlog,60,245760,1,34,620.82,174,275876,272484,272484,65656,64,0
fixed-4096,Split,Live,60,245760,1,34,1489.34,295,277988,272692,272692,65656,64,241
fixed-4096,Split,Fanout,60,245760,8,34,2861.97,1397,314244,280148,280084,65656,64,1928
fixed-4096,Chunk1200,Backlog,60,245760,1,34,1094.35,174,275876,272484,272484,65656,64,0
fixed-4096,Chunk1200,Live,60,245760,1,34,1260.26,415,279908,272692,272692,65656,64,361
fixed-4096,Chunk1200,Fanout,60,245760,8,34,3727.83,2477,337284,280148,280084,65656,64,2888
fixed-4096,Chunk16k,Backlog,60,245760,1,34,1097.22,220,263844,256204,256132,4120,64,0
fixed-4096,Chunk16k,Live,60,245760,1,34,1256.83,281,264996,256412,256412,4208,64,181
fixed-4096,Chunk16k,Fanout,60,245760,8,34,2864.20,903,290692,263868,263804,4208,64,1448
fixed-16384,Owned,Backlog,60,983040,1,8,242.66,40,12324,8932,8932,0,64,0
fixed-16384,Owned,Live,60,983040,1,8,276.02,41,12516,9124,9124,0,64,61
fixed-16384,Owned,Fanout,60,983040,8,8,1593.37,123,23812,16580,16516,0,64,488
fixed-16384,StreamOwned,Backlog,60,983040,1,8,374.87,100,16644,9004,8932,0,64,0
fixed-16384,StreamOwned,Live,60,983040,1,8,559.24,161,17796,9212,9212,88,64,181
fixed-16384,StreamOwned,Fanout,60,983040,8,8,2546.66,783,43492,16684,16604,88,64,1448
fixed-16384,Split,Backlog,60,983040,1,8,5658.44,194,1050340,1046948,1046948,65656,64,0
fixed-16384,Split,Live,60,983040,1,8,1395.69,315,1052452,1047156,1047156,65656,64,241
fixed-16384,Split,Fanout,60,983040,8,8,8679.45,1417,1088708,1054612,1054548,65656,64,1928
fixed-16384,Chunk1200,Backlog,60,983040,1,8,6109.35,194,1050340,1046948,1046948,65656,64,0
fixed-16384,Chunk1200,Live,60,983040,1,8,3054.62,1035,1063972,1047156,1047156,65656,64,961
fixed-16384,Chunk1200,Fanout,60,983040,8,8,15533.83,7897,1226948,1054612,1054548,65656,64,7688
fixed-16384,Chunk16k,Backlog,60,983040,1,8,5169.46,220,1001124,993484,993412,16408,64,0
fixed-16384,Chunk16k,Live,60,983040,1,8,5723.31,281,1002276,993692,993692,16496,64,181
fixed-16384,Chunk16k,Fanout,60,983040,8,8,6542.02,903,1027972,1001148,1001084,16496,64,1448
fixed-32768,Owned,Backlog,60,1966080,1,4,244.08,40,12324,8932,8932,0,64,0
fixed-32768,Owned,Live,60,1966080,1,4,291.80,41,12516,9124,9124,0,64,61
fixed-32768,Owned,Fanout,60,1966080,8,4,1787.24,123,23812,16580,16516,0,64,488
fixed-32768,StreamOwned,Backlog,60,1966080,1,4,362.60,100,16644,9004,8932,0,64,0
fixed-32768,StreamOwned,Live,60,1966080,1,4,557.55,161,17796,9212,9212,88,64,181
fixed-32768,StreamOwned,Fanout,60,1966080,8,4,2318.48,783,43492,16684,16604,88,64,1448
fixed-32768,Split,Backlog,60,1966080,1,4,11907.70,222,2017444,2014052,2014052,65656,64,0
fixed-32768,Split,Live,60,1966080,1,4,12252.76,343,2019556,2014260,2014260,65656,64,241
fixed-32768,Split,Fanout,60,1966080,8,4,14206.31,1445,2055812,2021716,2021652,65656,64,1928
fixed-32768,Chunk1200,Backlog,60,1966080,1,4,13404.67,222,2017444,2014052,2014052,65656,64,0
fixed-32768,Chunk1200,Live,60,1966080,1,4,15588.03,1903,2044516,2014260,2014260,65656,64,1801
fixed-32768,Chunk1200,Fanout,60,1966080,8,4,27772.21,15485,2355332,2021716,2021652,65656,64,14408
fixed-32768,Chunk16k,Backlog,60,1966080,1,4,12163.47,222,2017444,2014052,2014052,65656,64,0
fixed-32768,Chunk16k,Live,60,1966080,1,4,12229.80,343,2019556,2014260,2014260,65656,64,241
fixed-32768,Chunk16k,Fanout,60,1966080,8,4,14354.63,1445,2055812,2021716,2021652,65656,64,1928
fixed-65536,Owned,Backlog,60,3932160,1,2,255.39,40,12324,8932,8932,0,64,0
fixed-65536,Owned,Live,60,3932160,1,2,299.89,41,12516,9124,9124,0,64,61
fixed-65536,Owned,Fanout,60,3932160,8,2,1536.47,123,23812,16580,16516,0,64,488
fixed-65536,StreamOwned,Backlog,60,3932160,1,2,386.23,100,16644,9004,8932,0,64,0
fixed-65536,StreamOwned,Live,60,3932160,1,2,565.98,161,17796,9212,9212,88,64,181
fixed-65536,StreamOwned,Fanout,60,3932160,8,2,2618.76,783,43492,16684,16604,88,64,1448
fixed-65536,Split,Backlog,60,3932160,1,2,23411.79,280,3951684,3948292,3948292,65656,64,0
fixed-65536,Split,Live,60,3932160,1,2,22531.56,401,3953796,3948500,3948500,65656,64,241
fixed-65536,Split,Fanout,60,3932160,8,2,4766.63,1503,3990052,3955956,3955892,65656,64,1928
fixed-65536,Chunk1200,Backlog,60,3932160,1,2,26093.84,280,3951684,3948292,3948292,65656,64,0
fixed-65536,Chunk1200,Live,60,3932160,1,2,29188.33,3581,4004676,3948500,3948500,65656,64,3421
fixed-65536,Chunk1200,Fanout,60,3932160,8,2,51496.63,30123,4600612,3955956,3955892,65656,64,27368
fixed-65536,Chunk16k,Backlog,60,3932160,1,2,23674.78,280,3951684,3948292,3948292,65656,64,0
fixed-65536,Chunk16k,Live,60,3932160,1,2,22931.22,521,3955716,3948500,3948500,65656,64,361
fixed-65536,Chunk16k,Fanout,60,3932160,8,2,24857.17,2583,4013092,3955956,3955892,65656,64,2888
fixed-65537,Owned,Backlog,60,3932220,1,2,267.67,40,12324,8932,8932,0,64,0
fixed-65537,Owned,Live,60,3932220,1,2,299.64,41,12516,9124,9124,0,64,61
fixed-65537,Owned,Fanout,60,3932220,8,2,1604.61,123,23812,16580,16516,0,64,488
fixed-65537,StreamOwned,Backlog,60,3932220,1,2,396.58,100,16644,9004,8932,0,64,0
fixed-65537,StreamOwned,Live,60,3932220,1,2,572.08,161,17796,9212,9212,88,64,181
fixed-65537,StreamOwned,Fanout,60,3932220,8,2,2622.52,783,43492,16684,16604,88,64,1448
fixed-65537,Split,Backlog,60,3932220,1,2,10867.27,220,3949824,3946432,3946432,65625,64,0
fixed-65537,Split,Live,60,3932220,1,2,4718.54,341,3951936,3946640,3946640,65625,64,241
fixed-65537,Split,Fanout,60,3932220,8,2,26368.78,1443,3988192,3954096,3954032,65625,64,1928
fixed-65537,Chunk1200,Backlog,60,3932220,1,2,11294.25,220,3949824,3946432,3946432,65625,64,0
fixed-65537,Chunk1200,Live,60,3932220,1,2,12239.44,3521,4002816,3946640,3946640,65625,64,3421
fixed-65537,Chunk1200,Fanout,60,3932220,8,2,48475.28,30063,4598752,3954096,3954032,65625,64,27368
fixed-65537,Chunk16k,Backlog,60,3932220,1,2,9065.39,220,3949824,3946432,3946432,65625,64,0
fixed-65537,Chunk16k,Live,60,3932220,1,2,5224.17,521,3954816,3946640,3946640,65625,64,421
fixed-65537,Chunk16k,Fanout,60,3932220,8,2,22710.06,3063,4022752,3954096,3954032,65625,64,3368
