workload,input,delivery,frames,payload_bytes,readers,groups_per_sample,ns_per_frame,allocations,requested_bytes,peak_live_bytes,cached_live_bytes,retained_live_bytes,retained_payload_bytes,wakes
fixed-4096,Chunk16k,Backlog,60,245760,1,34,1121.74,220,263820,256180,256108,4120,64,0
fixed-4096,Chunk16k,Live,60,245760,1,34,1502.57,281,264972,256388,256388,4208,64,181
fixed-4096,Chunk16k,Fanout,60,245760,8,34,3300.65,903,290668,263844,263780,4208,64,1448
fixed-16384,Owned,Backlog,60,983040,1,8,244.86,40,12300,8908,8908,0,64,0
fixed-16384,Owned,Live,60,983040,1,8,282.78,41,12492,9100,9100,0,64,61
fixed-16384,Owned,Fanout,60,983040,8,8,1380.74,123,23788,16556,16492,0,64,488
fixed-16384,StreamOwned,Backlog,60,983040,1,8,425.53,100,16620,8980,8908,0,64,0
fixed-16384,StreamOwned,Live,60,983040,1,8,575.90,161,17772,9188,9188,88,64,181
fixed-16384,StreamOwned,Fanout,60,983040,8,8,2482.86,783,43468,16660,16580,88,64,1448
fixed-16384,Split,Backlog,60,983040,1,8,1076.38,220,1000620,997228,997228,16472,64,0
fixed-16384,Split,Live,60,983040,1,8,3095.24,341,1002732,997436,997436,16472,64,241
fixed-16384,Split,Fanout,60,983040,8,8,8474.82,1443,1038988,1004892,1004828,16472,64,1928
fixed-16384,Chunk1200,Backlog,60,983040,1,8,1684.21,220,1000620,997228,997228,16472,64,0
fixed-16384,Chunk1200,Live,60,983040,1,8,2270.77,1061,1014252,997436,997436,16472,64,961
fixed-16384,Chunk1200,Fanout,60,983040,8,8,14110.67,7923,1177228,1004892,1004828,16472,64,7688
fixed-16384,Chunk16k,Backlog,60,983040,1,8,5264.76,220,1001100,993460,993388,16408,64,0
fixed-16384,Chunk16k,Live,60,983040,1,8,5378.33,281,1002252,993668,993668,16496,64,181
fixed-16384,Chunk16k,Fanout,60,983040,8,8,7097.08,903,1027948,1001124,1001060,16496,64,1448
fixed-32768,Owned,Backlog,60,1966080,1,4,245.96,40,12300,8908,8908,0,64,0
fixed-32768,Owned,Live,60,1966080,1,4,284.78,41,12492,9100,9100,0,64,61
fixed-32768,Owned,Fanout,60,1966080,8,4,1541.19,123,23788,16556,16492,0,64,488
fixed-32768,StreamOwned,Backlog,60,1966080,1,4,409.90,100,16620,8980,8908,0,64,0
fixed-32768,StreamOwned,Live,60,1966080,1,4,687.04,161,17772,9188,9188,88,64,181
fixed-32768,StreamOwned,Fanout,60,1966080,8,4,2458.62,783,43468,16660,16580,88,64,1448
fixed-32768,Split,Backlog,60,1966080,1,4,9078.33,220,1983660,1980268,1980268,32856,64,0
fixed-32768,Split,Live,60,1966080,1,4,3298.54,341,1985772,1980476,1980476,32856,64,241
fixed-32768,Split,Fanout,60,1966080,8,4,14484.41,1443,2022028,1987932,1987868,32856,64,1928
fixed-32768,Chunk1200,Backlog,60,1966080,1,4,10304.30,220,1983660,1980268,1980268,32856,64,0
fixed-32768,Chunk1200,Live,60,1966080,1,4,5945.18,1901,2010732,1980476,1980476,32856,64,1801
fixed-32768,Chunk1200,Fanout,60,1966080,8,4,26604.59,15483,2321548,1987932,1987868,32856,64,14408
fixed-32768,Chunk16k,Backlog,60,1966080,1,4,10188.54,220,1983660,1980268,1980268,32856,64,0
fixed-32768,Chunk16k,Live,60,1966080,1,4,3535.78,341,1985772,1980476,1980476,32856,64,241
