workload,input,delivery,frames,payload_bytes,readers,groups_per_sample,ns_per_frame,allocations,requested_bytes,peak_live_bytes,cached_live_bytes,retained_live_bytes,retained_payload_bytes,wakes
fixed-100,Owned,Backlog,60,6000,1,34,232.90,40,12300,8908,8908,0,64,0
fixed-100,Owned,Live,60,6000,1,34,244.87,41,12492,9100,9100,0,64,61
fixed-100,Owned,Fanout,60,6000,8,34,1444.08,123,23788,16556,16492,0,64,488
fixed-100,StreamOwned,Backlog,60,6000,1,34,408.71,100,16620,8980,8908,0,64,0
fixed-100,StreamOwned,Live,60,6000,1,34,499.20,161,17772,9188,9188,88,64,181
fixed-100,StreamOwned,Fanout,60,6000,8,34,2202.07,783,43468,16660,16580,88,64,1448
fixed-100,Split,Backlog,60,6000,1,34,519.65,220,23580,20188,20188,188,64,0
fixed-100,Split,Live,60,6000,1,34,647.90,341,25692,20396,20396,188,50,241
fixed-100,Split,Fanout,60,6000,8,34,2646.44,1443,61948,27852,27788,188,50,1928
fixed-100,Chunk1200,Backlog,60,6000,1,34,392.79,220,24060,16420,16348,124,64,0
fixed-100,Chunk1200,Live,60,6000,1,34,534.00,281,25212,16628,16628,212,64,181
fixed-100,Chunk1200,Fanout,60,6000,8,34,2205.76,903,50908,24084,24020,212,64,1448
fixed-100,Chunk16k,Backlog,60,6000,1,34,392.99,220,24060,16420,16348,124,64,0
fixed-100,Chunk16k,Live,60,6000,1,34,531.91,281,25212,16628,16628,212,64,181
fixed-100,Chunk16k,Fanout,60,6000,8,34,2207.12,903,50908,24084,24020,212,64,1448
fixed-256,Owned,Backlog,60,15360,1,34,217.54,40,12300,8908,8908,0,64,0
fixed-256,Owned,Live,60,15360,1,34,274.81,41,12492,9100,9100,0,64,61
fixed-256,Owned,Fanout,60,15360,8,34,1430.72,123,23788,16556,16492,0,64,488
fixed-256,StreamOwned,Backlog,60,15360,1,34,411.18,100,16620,8980,8908,0,64,0
fixed-256,StreamOwned,Live,60,15360,1,34,527.92,161,17772,9188,9188,88,64,181
fixed-256,StreamOwned,Fanout,60,15360,8,34,2159.77,783,43468,16660,16580,88,64,1448
fixed-256,Split,Backlog,60,15360,1,34,525.13,220,32940,29548,29548,344,64,0
fixed-256,Split,Live,60,15360,1,34,738.59,341,35052,29756,29756,344,64,241
fixed-256,Split,Fanout,60,15360,8,34,2689.23,1443,71308,37212,37148,344,64,1928
fixed-256,Chunk1200,Backlog,60,15360,1,34,393.80,220,33420,25780,25708,280,64,0
fixed-256,Chunk1200,Live,60,15360,1,34,611.33,281,34572,25988,25988,368,64,181
fixed-256,Chunk1200,Fanout,60,15360,8,34,2227.62,903,60268,33444,33380,368,64,1448
fixed-256,Chunk16k,Backlog,60,15360,1,34,387.84,220,33420,25780,25708,280,64,0
fixed-256,Chunk16k,Live,60,15360,1,34,611.11,281,34572,25988,25988,368,64,181
fixed-256,Chunk16k,Fanout,60,15360,8,34,2204.42,903,60268,33444,33380,368,64,1448
fixed-1000,Owned,Backlog,60,60000,1,34,240.87,40,12300,8908,8908,0,64,0
fixed-1000,Owned,Live,60,60000,1,34,278.66,41,12492,9100,9100,0,64,61
fixed-1000,Owned,Fanout,60,60000,8,34,1400.31,123,23788,16556,16492,0,64,488
fixed-1000,StreamOwned,Backlog,60,60000,1,34,421.79,100,16620,8980,8908,0,64,0
fixed-1000,StreamOwned,Live,60,60000,1,34,541.09,161,17772,9188,9188,88,64,181
fixed-1000,StreamOwned,Fanout,60,60000,8,34,2163.10,783,43468,16660,16580,88,64,1448
fixed-1000,Split,Backlog,60,60000,1,34,529.54,220,77580,74188,74188,1088,64,0
fixed-1000,Split,Live,60,60000,1,34,741.31,341,79692,74396,74396,1088,64,241
fixed-1000,Split,Fanout,60,60000,8,34,2694.00,1443,115948,81852,81788,1088,64,1928
fixed-1000,Chunk1200,Backlog,60,60000,1,34,430.88,220,78060,70420,70348,1024,64,0
fixed-1000,Chunk1200,Live,60,60000,1,34,614.11,281,79212,70628,70628,1112,64,181
fixed-1000,Chunk1200,Fanout,60,60000,8,34,2242.91,903,104908,78084,78020,1112,64,1448
fixed-1000,Chunk16k,Backlog,60,60000,1,34,480.21,220,78060,70420,70348,1024,64,0
fixed-1000,Chunk16k,Live,60,60000,1,34,590.19,281,79212,70628,70628,1112,64,181
fixed-1000,Chunk16k,Fanout,60,60000,8,34,2275.36,903,104908,78084,78020,1112,64,1448
fixed-4096,Owned,Backlog,60,245760,1,34,217.73,40,12300,8908,8908,0,64,0
fixed-4096,Owned,Live,60,245760,1,34,269.05,41,12492,9100,9100,0,64,61
fixed-4096,Owned,Fanout,60,245760,8,34,1368.85,123,23788,16556,16492,0,64,488
fixed-4096,StreamOwned,Backlog,60,245760,1,34,417.52,100,16620,8980,8908,0,64,0
fixed-4096,StreamOwned,Live,60,245760,1,34,534.31,161,17772,9188,9188,88,64,181
fixed-4096,StreamOwned,Fanout,60,245760,8,34,2139.70,783,43468,16660,16580,88,64,1448
fixed-4096,Split,Backlog,60,245760,1,34,1017.94,220,263340,259948,259948,4184,64,0
fixed-4096,Split,Live,60,245760,1,34,867.84,341,265452,260156,260156,4184,64,241
fixed-4096,Split,Fanout,60,245760,8,34,2870.29,1443,301708,267612,267548,4184,64,1928
fixed-4096,Chunk1200,Backlog,60,245760,1,34,704.86,220,263340,259948,259948,4184,64,0
fixed-4096,Chunk1200,Live,60,245760,1,34,1030.15,461,267372,260156,260156,4184,64,361
fixed-4096,Chunk1200,Fanout,60,245760,8,34,3729.38,2523,324748,267612,267548,4184,64,2888
fixed-4096,Chunk16k,Backlog,60,245760,1,34,1126.36,220,263820,256180,256108,4120,64,0
fixed-4096,Chunk16k,Live,60,245760,1,34,1302.99,281,264972,256388,256388,4208,64,181
fixed-4096,Chunk16k,Fanout,60,245760,8,34,3290.48,903,290668,263844,263780,4208,64,1448
fixed-16384,Owned,Backlog,60,983040,1,8,245.21,40,12300,8908,8908,0,64,0
fixed-16384,Owned,Live,60,983040,1,8,278.80,41,12492,9100,9100,0,64,61
fixed-16384,Owned,Fanout,60,983040,8,8,1571.71,123,23788,16556,16492,0,64,488
